,Name,Height
0,Katherine Ebrahim,69.0
1,Isabel Gangi,63.0
2,Jessica  Johnson,68.0
3,Macy Jones-Busch,62.0
4,Brooke Manning,63.0
5,Morgan Novello,64.0
6,Melissa Poggioli,63.0
7,Jordan Swanson,67.0
8,Katarina Tsirlin,65.0
9,Gabriela Almeida,63.0
10,Marin Azhar,61.0
11,Alyssa Budzynski,68.0
12,Brigitti Cruz,66.0
13,Danielle D'Angelo,66.0
14,Megan Dawes,68.0
15,Sekyi Dolma,63.0
16,Chelsy Espinosa,65.0
17,Amanda Giordano,65.0
18,Naomi Oken,64.0
19,Allie Stanya,67.0
20,Gabriella Vicidomini,64.0
21,Lily Wilk,63.0
22,Nakia Usher,58.0
23,Julia Wyman,58.0
24,Scarlet Astudillo,64.0
25,Joscelyn  Galindo,63.0
26,Dea Gazheli,63.0
27,Amanda Lee,61.0
28,Katherine Lee,62.0
29,Jillian Quinn,65.0
30,Aanya Shukul,69.0
31,Nicole  Tarasiuk,67.0
32,Joyce  Wong,64.0
33,Amy Zeng,62.0
34,Alexia Bakyt,67.0
35,Susanna Buckley,65.0
36,Wendy Daza,62.0
37,Gurveen Dhallu,65.0
38,Ayatallah Elkotby,72.0
39,Whitney Fowler,69.0
40,Anastassiya Gousseva,66.0
41,Julie  Huang,61.0
42,Anastasia Kutuzov,66.0
43,Monica  Prado Capon,66.0
44,Yulia Reznik Korik,66.0
45,Mariama Sano,65.0
46,Leah Allen,65.0
47,Jessica Brusnahan,66.0
48,Elle Christie,69.0
49,Marit de Lau,67.0
50,Noelle Defabio,66.0
51,Laney Fenton,67.0
52,Morgen Frausto,69.0
53,Isabella Gable,71.0
54,Jana Hellenschmidt,68.0
55,Claudia Hollis,69.0
56,Shelby Kasse,70.0
57,Ellie Lopez,68.0
58,Stephanie Marks,70.0
59,Adison Marshall,69.0
60,Beata Maruszczyk,63.0
61,Emily Massengale,67.0
62,Joselle Mensah,69.0
63,Marlene Pape,68.0
64,Chloe  Pearson,64.0
65,Ashley Richard,64.0
66,Meredith Riegler,68.0
67,Camilla Rimmereide,66.0
68,Leticia Rodrigues,65.0
69,Lillie Schafer,60.0
70,Sophia Scott,64.0
71,Taylor Seilheimer,69.0
72,McKayla Siemiller,68.0
73,Emily Snyder,66.0
74,Nina Tasic,67.0
75,Bayley Thompson,65.0
76,Kirsten Votava,69.0
77,Linsey Watson,68.0
78,Katie Werkema,63.0
79,Lexie Winnett,67.0
80,Lyssa Wood,69.0
81,Aurora Abbruscato,66.0
82,Bianka Bukovics,71.0
83,Sophia Burwitz,66.0
84,Terrah DeLorimiere,63.0
85,Luiza Dias,68.0
86,McKenzie Fazio,74.0
87,Chiara Fuerst,67.0
88,Olivia Fuller,68.0
89,Atzi Gomez,63.0
90,Sarah Gormley,66.0
91,Presley Heitzmann,71.0
92,Alexis Kachkin,69.0
93,Natalia Kralova,69.0
94,Helena  Kurtz,64.0
95,Tumi Macdonell,68.0
96,Keianna Moss,68.0
97,Rylee Sitton,67.0
98,Caitlyn Sligh,68.0
99,Karley Sonnenberg,70.0
100,Olivia Terry,65.0
101,Logan Wilson,65.0
102,Jocelyn Zgola,70.0
103,Fifi  Amanuel,64.0
104,Julia Caramagna,62.0
105,Isabella Hanson,70.0
106,Mairin Huston,63.0
107,Maddy Joe,62.0
108,Grace Korey,70.0
109,Camila Mercado,61.0
110,Valeria Pages,61.0
111,Alazne Sudupe,65.0
112,Magdalen Swat,62.0
113,Sovy Taylor,65.0
114,Rachel Vazquez,65.0
115,Cami Yovich,62.0
116,Krisztina Balogh,66.0
117,Emma Bellars,65.0
118,Abby Burns,65.0
119,Alisa Dovbnya,68.0
120,Laney Fenton,66.0
121,Grace Geyer,71.0
122,Taylor Jacobson,61.0
123,Ashley Konz,68.0
124,Emma Lindecke,65.0
125,Abbie Masters,63.0
126,Teagan Powell,69.0
127,Vivian Ravines,68.0
128,Faith Ring,63.0
129,Sydney Stemley,66.0
130,Braelyn Wilson,65.0
131,Victoria Zjawin,64.0
132,Claire Armstrong,65.0
133,Erin Clune,70.0
134,Kimberly Colella,64.0
135,Cadence  Dudley,62.0
136,Anna Guzzo,64.0
137,Natalie Hunt,64.0
138,Kayla Keddy,62.0
139,Melissa Kelly,63.0
140,Anna McCall,66.0
141,Emma McInerney,67.0
142,Erin Mullery,66.0
143,Sophia Olson,62.0
144,Samantha Sanchez,66.0
145,Danielle Shaw,61.0
146,Paige Splendido,65.0
147,Emma Stephenson,67.0
148,Callie Stinson,64.0
149,Jessie Triller,62.0
150,Emma Trumino,65.0
