,Name,Height
0,Amy Criollo,63.0
1,Jamielee Adomo,62.0
2,Emmanuella Aurel,66.0
3,Josanne Lewis,67.0
4,Garyana Altidor,61.0
5,Sarah Lee,64.0
6,Cheyenne Gray-Taitt,64.0
7,Albina Rugova,63.0
8,Megan Rivera,62.0
9,Xheni Doci,67.0
10,Brianna Pinder,65.0
11,Johana Boleaga Ramirez,66.0
12,Jeimy Constante,67.0
13,Jasmine  Vega,61.0
14,Samantha Panameno,65.0
15,Simranjit Kaur,63.0
16,Jasmine Dias,59.0
17,Devina  Luckhoo,63.0
18,Amariana Kidd,63.0
19,Yoanne Boadji,65.0
20,Jachimma Onwuamaegbu,71.0
21,Maritza Ortega Ramirez,66.0
22,Madison Plaza,67.0
23,Alicia Gumbs,65.0
24,Vanessa Ramirez,63.0
25,Maria Ventura,63.0
26,Jeana Clemons,67.0
27,Iyanna  Charon,67.0
28,Yaxeny Hernandez,64.0
29,Camila  Lebron,67.0
30,Nicole  Rosas,64.0
31,Savannah  Williams,68.0
32,Nyla  Rivera,67.0
33,Tiffany  Alvarez,64.0
34,Jasmine  Garcia,67.0
35,Nathalia  Shaw,64.0
36,Zainab Conteh,68.0
37,Ashly  Cabral,64.0
38,Daniela Salazar-Gomez,63.0
39,Maynee De Los Santos,64.0
40,Emely Nunez,66.0
41,Kiana Castillo,70.0
42,Breanna Kimbrough,69.0
43,Zouera Sofiani,65.0
44,Nicole Santos,66.0
45,Aichata Kone,70.0
46,Nayely Rodriguez,66.0
47,Nahara Lopez,66.0
48,Despina Boudouris,65.0
49,Olivia Hyman,65.0
50,Sophie Schonauer,67.0
51,Nourhan Hadjeb,61.0
52,Christina Franco,69.0
53,Madi Hathaway,70.0
54,Elena Leung,68.0
55,Alicia Cervera,71.0
56,Lindsay Osterhoudt,73.0
57,Elizabeth Cerullo,68.0
58,Alexis Stoehrer,65.0
59,Jonaida Donowa,71.0
60,Jayna Marie Lorenzo,68.0
61,Kendall Conrad,71.0
62,Sarah Munn,63.0
63,Maya Angelova,75.0
64,Marah  Zenner,65.0
65,Rylie Harris,65.0
66,Giulia Rodrigues,63.0
67,Mia Saavedra,70.0
68,Mikayla  Kline,70.0
69,Sophia Kruczko,75.0
70,Lauren Posa,73.0
71,Abigail LeVines,71.0
72,Jada Suguturaga,73.0
73,Libby Nickels,61.0
74,Madelyn Eden,74.0
75,Jacklyn Simms,72.0
76,Marin Freeland,74.0
77,Layne Witherspoon,70.0
78,Janvier Buggs,66.0
79,Amelia Fitzpatrick,69.0
80,Lexi Basler,64.0
81,Ella Wicker,65.0
82,Marley Middlebrooks,70.0
83,Meredith Dixon,73.0
84,Colby Stempkowski,72.0
85,Bennett Daniels,71.0
86,Briged Potter,70.0
87,Shaelin Bilbo,66.0
88,Jordan Norwood,70.0
89,Molly Boyd,75.0
90,Jordan Berglin,70.0
91,Clare Sheedy,72.0
92,Cecilia Robert,67.0
93,Maeson Peterson,73.0
94,Lainee Mack,68.0
95,Cassidy Bloom,69.0
96,Gracie Fleming,71.0
97,Ana Cate Loftus,70.0
98,Madison Fox,67.0
99,Anna Sommer,73.0
100,Sidney Hogan,67.0
101,Avery Pearson,74.0
102,Tucker Patterson,70.0
103,Chloe Duzenack,71.0
104,Lexi Rogers,69.0
105,Alli Bishop,72.0
106,Hailey Admire,70.0
107,Kira Bostick,66.0
108,Leilani Brown,69.0
109,Bailey Corrigan,72.0
110,Ella Hukel,63.0
111,Hayley Laskowski,73.0
112,Kadence Livingston,69.0
113,Camie Mitrovich,69.0
114,Baylee Rabun,65.0
115,Brynn Westby,72.0
116,Olivia Cook,68.0
117,Kaitlyn Houck,63.0
118,Kelly Gaston,68.0
119,Avery Nicholson,65.0
120,Natalie Acevedo,68.0
121,Salma Villa  Morales,62.0
122,Reagan  Irons,69.0
123,Avery Beall,69.0
124,Madison Eckley,65.0
125,Emma Kelly,69.0
126,Evie Jane Rembold,71.0
127,Gracelynn Wolzen,71.0
128,Maggie Rafferty,67.0
129,Gabby Gealey,71.0
130,Claire Pavick,68.0
131,Erin Ferello,65.0
132,Alyssa Daley,75.0
133,Myka Costanzo,64.0
134,Kyleigh McDermit,71.0
135,Katrina Cowder,71.0
